year;mes;horas;maquinaria;combustible;adicional;salidas;lhora;dhora;ddhora;a_mes
2010;ENERO;14;;;;;2.63905733;;;2010_ENERO
2010;FEBRERO;25;;;;;3.218875825;11;;2010_FEBRERO
2010;MARZO;94;;;;;4.543294782;69;58;2010_MARZO
2010;ABRIL;81;;;;;4.394449155;-13;-82;2010_ABRIL
2010;MAYO;198;;;;;5.288267031;117;130;2010_MAYO
2010;JUNIO;155;;;;;5.043425117;-43;-160;2010_JUNIO
2010;JULIO;168;;;;;5.123963979;13;56;2010_JULIO
2010;AGOSTO;20;;;;;2.995732274;-148;-161;2010_AGOSTO
2010;SETIEMBRE;84;;;;;4.430816799;64;212;2010_SETIEMBRE
2010;OCTUBRE;181;;;;;5.198497031;97;33;2010_OCTUBRE
2010;NOVIEMBRE;190;;;;;5.247024072;9;-88;2010_NOVIEMBRE
2010;DICIEMBRE;70;;;;;4.248495242;-120;-129;2010_DICIEMBRE
2011;ENERO;8;;;;;2.079441542;-62;58;2011_ENERO
2011;FEBRERO;21;;;;;3.044522438;13;75;2011_FEBRERO
2011;MARZO;96;;;;;4.564348191;75;62;2011_MARZO
2011;ABRIL;89;;;;;4.48863637;-7;-82;2011_ABRIL
2011;MAYO;197;;;;;5.283203729;108;115;2011_MAYO
2011;JUNIO;94;;;;;4.543294782;-103;-211;2011_JUNIO
2011;JULIO;156;;;;;5.049856007;62;165;2011_JULIO
2011;AGOSTO;44;;;;;3.784189634;-112;-174;2011_AGOSTO
2011;SETIEMBRE;98;;;;;4.584967479;54;166;2011_SETIEMBRE
2011;OCTUBRE;224;;;;;5.411646052;126;72;2011_OCTUBRE
2011;NOVIEMBRE;200;;;;;5.298317367;-24;-150;2011_NOVIEMBRE
2011;DICIEMBRE;66;;;;;4.189654742;-134;-110;2011_DICIEMBRE
2012;ENERO;10;3;5;;;2.302585093;-56;78;2012_ENERO
2012;FEBRERO;23;3;4;;;3.135494216;13;69;2012_FEBRERO
2012;MARZO;78;3;20;;;4.356708827;55;42;2012_MARZO
2012;ABRIL;90;3;24;;;4.49980967;12;-43;2012_ABRIL
2012;MAYO;179;3;55;;;5.187385806;89;77;2012_MAYO
2012;JUNIO;90;3;30;;;4.49980967;-89;-178;2012_JUNIO
2012;JULIO;156;3;40;;;5.049856007;66;155;2012_JULIO
2012;AGOSTO;46;3;12;;;3.828641396;-110;-176;2012_AGOSTO
2012;SETIEMBRE;119;3;35;;;4.779123493;73;183;2012_SETIEMBRE
2012;OCTUBRE;290;3;72;;;5.669880923;171;98;2012_OCTUBRE
2012;NOVIEMBRE;206;3;52;;;5.327876169;-84;-255;2012_NOVIEMBRE
2012;DICIEMBRE;66;3;16;;;4.189654742;-140;-56;2012_DICIEMBRE
2013;ENERO;10;3;4;;;2.302585093;-56;84;2013_ENERO
2013;FEBRERO;23;3;5;;;3.135494216;13;69;2013_FEBRERO
2013;MARZO;76;3;20;;;4.33073334;53;40;2013_MARZO
2013;ABRIL;108;3;28;;;4.682131227;32;-21;2013_ABRIL
2013;MAYO;183;3;44;;;5.209486153;75;43;2013_MAYO
2013;JUNIO;100;3;24;;;4.605170186;-83;-158;2013_JUNIO
2013;JULIO;168;3;44;;;5.123963979;68;151;2013_JULIO
2013;AGOSTO;46;3;12;;;3.828641396;-122;-190;2013_AGOSTO
2013;SETIEMBRE;125;4;40;31;13;4.828313737;79;201;2013_SETIEMBRE
2013;OCTUBRE;308;4;95;84;56;5.730099783;183;104;2013_OCTUBRE
2013;NOVIEMBRE;240;4;60;68;44;5.480638923;-68;-251;2013_NOVIEMBRE
2013;DICIEMBRE;70;4;16;19;9;4.248495242;-170;-102;2013_DICIEMBRE
2014;ENERO;20;4;4;9;2;2.995732274;-50;120;2014_ENERO
2014;FEBRERO;31;4;8;14;3;3.433987204;11;61;2014_FEBRERO
2014;MARZO;88;4;30;25;10;4.477336814;57;46;2014_MARZO
2014;ABRIL;123;4;40;40;24;4.812184355;35;-22;2014_ABRIL
2014;MAYO;194;4;60;41;20;5.267858159;71;36;2014_MAYO
2014;JUNIO;110;4;28;35;21;4.700480366;-84;-155;2014_JUNIO
2014;JULIO;168;4;55;50;32;5.123963979;58;142;2014_JULIO
2014;AGOSTO;48;4;12;20;7;3.871201011;-120;-178;2014_AGOSTO
2014;SETIEMBRE;256;4;64;55;27;5.545177444;208;328;2014_SETIEMBRE
2014;OCTUBRE;343;4;84;91;46;5.837730447;87;-121;2014_OCTUBRE
2014;NOVIEMBRE;270;4;68;58;28;5.598421959;-73;-160;2014_NOVIEMBRE
2014;DICIEMBRE;70;4;16;24;9;4.248495242;-200;-127;2014_DICIEMBRE
2015;ENERO;14;4;4;9;2;2.63905733;-56;144;2015_ENERO
2015;FEBRERO;27;4;10;11;3;3.295836866;13;69;2015_FEBRERO
2015;MARZO;70;4;16;19;7;4.248495242;43;30;2015_MARZO
2015;ABRIL;150;4;36;35;20;5.010635294;80;37;2015_ABRIL
2015;MAYO;204;6;52;45;29;5.318119994;54;-26;2015_MAYO
2015;JUNIO;116;6;28;36;21;4.753590191;-88;-142;2015_JUNIO
2015;JULIO;194;6;48;42;20;5.267858159;78;166;2015_JULIO
2015;AGOSTO;54;6;15;17;7;3.988984047;-140;-218;2015_AGOSTO
2015;SETIEMBRE;230;6;70;47;23;5.438079309;176;316;2015_SETIEMBRE
2015;OCTUBRE;350;6;110;74;49;5.857933154;120;-56;2015_OCTUBRE
2015;NOVIEMBRE;315;6;100;85;44;5.752572639;-35;-155;2015_NOVIEMBRE
2015;DICIEMBRE;80;6;25;27;15;4.382026635;-235;-200;2015_DICIEMBRE
2016;ENERO;16;6;4;10;2;2.772588722;-64;171;2016_ENERO
2016;FEBRERO;27;6;8;12;3;3.295836866;11;75;2016_FEBRERO
2016;MARZO;86;6;25;27;11;4.454347296;59;48;2016_MARZO
2016;ABRIL;154;6;40;48;29;5.036952602;68;9;2016_ABRIL
2016;MAYO;234;6;75;51;25;5.455321115;80;12;2016_MAYO
2016;JUNIO;122;6;32;38;18;4.804021045;-112;-192;2016_JUNIO
2016;JULIO;234;6;60;50;25;5.455321115;112;224;2016_JULIO
2016;AGOSTO;64;6;20;19;7;4.158883083;-170;-282;2016_AGOSTO
2016;SETIEMBRE;250;6;80;69;35;5.521460918;186;356;2016_SETIEMBRE
2016;OCTUBRE;364;6;92;75;51;5.897153868;114;-72;2016_OCTUBRE
2016;NOVIEMBRE;350;6;110;93;65;5.857933154;-14;-128;2016_NOVIEMBRE
2016;DICIEMBRE;70;6;16;23;12;4.248495242;-280;-266;2016_DICIEMBRE
2017;ENERO;48;6;15;20;7;3.871201011;-22;258;2017_ENERO
2017;FEBRERO;31;6;10;14;4;3.433987204;-17;5;2017_FEBRERO
2017;MARZO;92;6;24;32;18;4.521788577;61;78;2017_MARZO
2017;ABRIL;126;6;32;40;18;4.836281907;34;-27;2017_ABRIL
2017;MAYO;296;6;95;65;42;5.690359454;170;136;2017_MAYO
2017;JUNIO;134;6;32;37;18;4.8978398;-162;-332;2017_JUNIO
2017;JULIO;228;6;56;61;41;5.429345629;94;256;2017_JULIO
2017;AGOSTO;78;6;25;22;8;4.356708827;-150;-244;2017_AGOSTO
2017;SETIEMBRE;255;6;80;71;35;5.541263545;177;327;2017_SETIEMBRE
2017;OCTUBRE;351;6;110;96;49;5.860786223;96;-81;2017_OCTUBRE
2017;NOVIEMBRE;396;6;125;107;55;5.981414211;45;-51;2017_NOVIEMBRE
2017;DICIEMBRE;62;6;16;23;12;4.127134385;-334;-379;2017_DICIEMBRE
2018;ENERO;32;6;8;13;4;3.465735903;-30;304;2018_ENERO
2018;FEBRERO;33;6;8;14;4;3.496507561;1;31;2018_FEBRERO
2018;MARZO;126;6;32;31;13;4.836281907;93;92;2018_MARZO
2018;ABRIL;148;6;45;35;20;4.997212274;22;-71;2018_ABRIL
2018;MAYO;313;6;80;65;44;5.746203191;165;143;2018_MAYO
2018;JUNIO;150;6;45;43;27;5.010635294;-163;-328;2018_JUNIO
2018;JULIO;252;6;80;70;47;5.529429088;102;265;2018_JULIO
2018;AGOSTO;84;6;20;25;11;4.430816799;-168;-270;2018_AGOSTO
2018;SETIEMBRE;275;6;68;58;28;5.616771098;191;359;2018_SETIEMBRE
2018;OCTUBRE;381;6;120;80;53;5.942799375;106;-85;2018_OCTUBRE
2018;NOVIEMBRE;376;6;120;101;53;5.929589143;-5;-111;2018_NOVIEMBRE
2018;DICIEMBRE;92;6;30;23;10;4.521788577;-284;-279;2018_DICIEMBRE
2019;ENERO;52;6;15;19;7;3.951243719;-40;244;2019_ENERO
2019;FEBRERO;37;6;10;11;4;3.610917913;-15;25;2019_FEBRERO
2019;MARZO;156;6;50;48;22;5.049856007;119;134;2019_MARZO
2019;ABRIL;161;6;40;47;29;5.081404365;5;-114;2019_ABRIL
2019;MAYO;333;6;84;68;46;5.80814249;172;167;2019_MAYO
2019;JUNIO;167;6;40;36;17;5.117993812;-166;-338;2019_JUNIO
2019;JULIO;276;6;68;59;38;5.620400866;109;275;2019_JULIO
2019;AGOSTO;102;6;24;30;13;4.624972813;-174;-283;2019_AGOSTO
2019;SETIEMBRE;310;6;95;62;42;5.736572297;208;382;2019_SETIEMBRE
2019;OCTUBRE;420;6;104;84;57;6.040254711;110;-98;2019_OCTUBRE
2019;NOVIEMBRE;386;6;120;104;53;5.955837369;-34;-144;2019_NOVIEMBRE
2019;DICIEMBRE;135;6;32;40;18;4.905274778;-251;-217;2019_DICIEMBRE
